"";"sitio";"id_planta";"fruto";"fecha";"muestreo";"d1";"long";"pf_fr";"ps_fr";"pf_sem";"ps_sem";"d_sem";"l_sem";"p_36h_sem";"hilera";"planta";"d2";"diam_medio";"ps_cas"
"65";"los_sauces";"5_12";5;2023-01-25;2;44,8;50,9;55,13;NA;3,9;1,056;NA;NA;NA;NA;NA;NA;NA;NA
"66";"los_sauces";"5_12";6;2023-01-25;2;42,8;48,9;47,88;NA;4,4;1,364;NA;NA;NA;NA;NA;NA;NA;NA
"67";"los_sauces";"5_12";7;2023-01-25;2;41,9;47,8;46,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"68";"los_sauces";"5_12";8;2023-01-25;2;42,2;48;50,29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"69";"los_sauces";"5_12";9;2023-01-25;2;38,6;42,7;38,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"70";"los_sauces";"5_12";10;2023-01-25;2;42,7;48,2;49,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"71";"los_sauces";"5_34";1;2023-01-25;2;38,1;43,8;32,51;NA;3;1,207;NA;NA;NA;NA;NA;NA;NA;NA
"72";"los_sauces";"5_34";2;2023-01-25;2;40;43,6;36,16;NA;4,3;1,684;NA;NA;NA;NA;NA;NA;NA;NA
"73";"los_sauces";"5_34";3;2023-01-25;2;43,2;45,5;46,77;NA;5;1,776;NA;NA;NA;NA;NA;NA;NA;NA
"74";"los_sauces";"5_34";4;2023-01-25;2;39;44,9;36,37;NA;4,5;1,307;NA;NA;NA;NA;NA;NA;NA;NA
"75";"los_sauces";"5_34";5;2023-01-25;2;42,6;46,4;44,64;NA;5,2;1,873;NA;NA;NA;NA;NA;NA;NA;NA
"76";"los_sauces";"5_34";6;2023-01-25;2;42,7;45,9;43,77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"77";"los_sauces";"5_34";7;2023-01-25;2;33,5;36,8;22,59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"78";"los_sauces";"5_34";8;2023-01-25;2;38,5;45,4;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"79";"los_sauces";"5_34";9;2023-01-25;2;38,9;47,8;38,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"80";"los_sauces";"5_34";10;2023-01-25;2;41,4;49,8;43,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"81";"los_sauces";"7_13";1;2023-01-25;2;41,7;43,6;39,45;NA;3;0,904;NA;NA;NA;NA;NA;NA;NA;NA
"82";"los_sauces";"7_13";2;2023-01-25;2;44,1;49,5;50,12;NA;6,4;1,509;NA;NA;NA;NA;NA;NA;NA;NA
"83";"los_sauces";"7_13";3;2023-01-25;2;44,1;47,7;51,91;NA;5,2;1,753;NA;NA;NA;NA;NA;NA;NA;NA
"84";"los_sauces";"7_13";4;2023-01-25;2;44,9;50,1;55,34;NA;4,2;1,282;NA;NA;NA;NA;NA;NA;NA;NA
"85";"los_sauces";"7_13";5;2023-01-25;2;45,2;50,2;54,29;NA;5,9;1,541;NA;NA;NA;NA;NA;NA;NA;NA
"86";"los_sauces";"7_13";6;2023-01-25;2;38,9;46,2;33,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"87";"los_sauces";"7_13";7;2023-01-25;2;41,2;43,6;40,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"88";"los_sauces";"7_13";8;2023-01-25;2;39,3;44,6;38,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"89";"los_sauces";"7_13";9;2023-01-25;2;43,4;47,9;47,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"90";"los_sauces";"7_13";10;2023-01-25;2;41,2;44,1;40,91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"91";"los_sauces";"7_15";1;2023-01-25;2;42,8;48,9;47,9;NA;4,3;1,066;NA;NA;NA;NA;NA;NA;NA;NA
"92";"los_sauces";"7_15";2;2023-01-25;2;42;45,7;46,25;NA;4,5;1,271;NA;NA;NA;NA;NA;NA;NA;NA
"93";"los_sauces";"7_15";3;2023-01-25;2;43,9;50,4;51,61;NA;4,5;1,162;NA;NA;NA;NA;NA;NA;NA;NA
"94";"los_sauces";"7_15";4;2023-01-25;2;44,6;52,3;53,55;NA;6;1,286;NA;NA;NA;NA;NA;NA;NA;NA
"95";"los_sauces";"7_15";5;2023-01-25;2;39,9;44,2;33,21;NA;3,6;0,59;NA;NA;NA;NA;NA;NA;NA;NA
"96";"los_sauces";"7_15";6;2023-01-25;2;40,9;43,5;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"97";"los_sauces";"7_15";7;2023-01-25;2;44,5;50,9;49,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"98";"los_sauces";"7_15";8;2023-01-25;2;42,9;48,7;45,64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"99";"los_sauces";"7_15";9;2023-01-25;2;43;46;46,47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"100";"los_sauces";"7_15";10;2023-01-25;2;42,8;46,9;44,51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"101";"los_sauces";"7_18";1;2023-01-25;2;44,6;49,7;55,25;NA;5,9;1,424;NA;NA;NA;NA;NA;NA;NA;NA
"102";"los_sauces";"7_18";2;2023-01-25;2;43,6;50,5;52,04;NA;5,8;1,414;NA;NA;NA;NA;NA;NA;NA;NA
"103";"los_sauces";"7_18";3;2023-01-25;2;45,5;51,6;57,37;NA;5,4;1,911;NA;NA;NA;NA;NA;NA;NA;NA
"104";"los_sauces";"7_18";4;2023-01-25;2;37,2;44,1;32,92;NA;3;0,606;NA;NA;NA;NA;NA;NA;NA;NA
"105";"los_sauces";"7_18";5;2023-01-25;2;43,5;50,3;52,54;NA;5,1;1,389;NA;NA;NA;NA;NA;NA;NA;NA
"106";"los_sauces";"7_18";6;2023-01-25;2;41;44,6;40,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"107";"los_sauces";"7_18";7;2023-01-25;2;43,3;47,3;44,77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"108";"los_sauces";"7_18";8;2023-01-25;2;43;49,4;48,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"109";"los_sauces";"7_18";9;2023-01-25;2;43,3;51,1;51,67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"110";"los_sauces";"7_18";6;2023-01-25;2;42,8;47;45,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"111";"los_sauces";"7_21";1;2023-01-25;2;43,4;48,1;46,65;NA;4,3;1,437;NA;NA;NA;NA;NA;NA;NA;NA
"112";"los_sauces";"7_21";2;2023-01-25;2;42,5;47,4;46,67;NA;3;0,913;NA;NA;NA;NA;NA;NA;NA;NA
"113";"los_sauces";"7_21";3;2023-01-25;2;44,8;49,1;53,26;NA;6,1;1,569;NA;NA;NA;NA;NA;NA;NA;NA
"114";"los_sauces";"7_21";4;2023-01-25;2;42,8;47,1;46,32;NA;4,5;1,308;NA;NA;NA;NA;NA;NA;NA;NA
"115";"los_sauces";"7_21";5;2023-01-25;2;44,4;50,6;54,32;NA;3,6;1,025;NA;NA;NA;NA;NA;NA;NA;NA
"116";"los_sauces";"7_21";6;2023-01-25;2;41,1;50,3;44,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"117";"los_sauces";"7_21";7;2023-01-25;2;42,4;49;49,87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"118";"los_sauces";"7_21";8;2023-01-25;2;44,8;50;52,42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"119";"los_sauces";"7_21";9;2023-01-25;2;42,9;49;46,28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"120";"los_sauces";"7_21";10;2023-01-25;2;39,5;45,3;42,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"121";"los_sauces";"7_24";1;2023-01-25;2;43,8;50,6;52,93;NA;5,8;1,891;NA;NA;NA;NA;NA;NA;NA;NA
"122";"los_sauces";"7_24";2;2023-01-25;2;42,9;49,7;51,84;NA;5,2;1,754;NA;NA;NA;NA;NA;NA;NA;NA
"123";"los_sauces";"7_24";3;2023-01-25;2;40,1;48,9;42,5;NA;4,7;1,175;NA;NA;NA;NA;NA;NA;NA;NA
"124";"los_sauces";"7_24";4;2023-01-25;2;42,1;45,1;44,82;NA;5,3;1,512;NA;NA;NA;NA;NA;NA;NA;NA
"125";"los_sauces";"7_24";5;2023-01-25;2;42,4;46,6;47,32;NA;4,6;1,348;NA;NA;NA;NA;NA;NA;NA;NA
"126";"los_sauces";"7_24";6;2023-01-25;2;40,8;46,5;43,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"127";"los_sauces";"7_24";7;2023-01-25;2;38,5;43,8;36,49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"128";"los_sauces";"7_24";8;2023-01-25;2;44,2;50,6;55,63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"129";"los_sauces";"7_24";9;2023-01-25;2;41,4;43,4;41,91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"130";"los_sauces";"7_24";10;2023-01-25;2;36,9;45,4;34,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"131";"los_sauces";"7_26";1;2023-01-25;2;45,2;51;55,73;NA;5,4;1,567;NA;NA;NA;NA;NA;NA;NA;NA
"132";"los_sauces";"7_26";2;2023-01-25;2;43,5;48,4;49,91;NA;5,5;1,648;NA;NA;NA;NA;NA;NA;NA;NA
